,Unnamed: 0,price,year,odometer,lat,long,labels
146132,584528,1,2004.0,72000.0,44.0612,-123.1555,0
208298,833192,9990,2011.0,61697.0,39.5805,-104.9011,0
267299,1069196,12500,2009.0,119000.0,36.3417,-86.7212,0
193636,774544,2095,2000.0,118000.0,42.2541,-71.7746,0
108030,432120,9995,2008.0,164782.0,30.4558,-91.0596,0
373072,1492288,1200,1999.0,166808.0,47.738,-117.2557,0
320072,1280288,5500,2008.0,105000.0,26.2154,-98.2359,0
50956,203824,4650,2006.0,154000.0,32.9865,-96.686,0
223984,895936,17750,1925.0,0.0,43.02792,-85.566647,0
271668,1086672,1250,2003.0,226306.0,35.2023,-88.2005,0
342252,1369008,7995,2012.0,144980.0,43.6403,-116.26346,0
119796,479184,11500,2012.0,118000.0,32.1336,-111.0973,0
288677,1154708,2000,2003.0,164750.0,29.5597,-82.5108,0
287748,1150992,34500,2016.0,22000.0,26.6466,-81.8429,0
72257,289028,2000,1999.0,200000.0,41.446732,-84.00604,0
406291,1625164,10000,2013.0,86000.0,44.924072,-91.397461,0
101334,405336,6200,2013.0,67000.0,36.9375,-86.4481,0
411698,1646792,31986,2017.0,14321.0,43.75891,-87.75358,0
288478,1153912,6300,2008.0,80900.0,28.4113,-81.7812,0
68299,273196,7400,2014.0,69000.0,30.1743,-97.8225,0
109370,437480,1050,2001.0,121000.0,41.587184,-81.442054,0
355697,1422788,7500,2005.0,169000.0,42.105,-89.0169,0
200660,802640,6500,1995.0,57800.0,40.5396,-75.4242,0
121861,487444,6500,2008.0,170000.0,31.347985,-110.930071,0
33604,134416,1400,1998.0,153319.0,39.8253,-75.8374,0
155118,620472,2200,2000.0,178000.0,32.6084,-117.0565,0
414196,1656784,5991,2009.0,106047.0,43.97368,-88.583361,0
191885,767540,4300,2009.0,143000.0,42.1167,-70.9543,0
73599,294396,12980,2006.0,158601.0,47.7374,-117.4352,0
415697,1662788,2600,2001.0,153000.0,37.6985,-97.1179,0
107868,431472,8995,2008.0,77949.0,29.909491,-90.058351,0
81610,326440,8900,2003.0,300000.0,41.9261,-72.6458,0
255690,1022760,12503,2016.0,31171.0,34.96236,-89.88795999999998,0
3992,15968,10500,2014.0,42540.0,44.484,-73.2199,0
393769,1575076,2785,2008.0,71603.0,43.1116,-75.2756,0
126938,507752,7000,2008.0,66234.0,36.7031,-97.0784,0
429718,1718872,41990,2016.0,11229.0,34.255993,-77.842611,0
18015,72060,15000,2017.0,25300.0,41.0449,-83.6457,0
233038,932152,21000,2017.0,29500.0,42.8428,-84.5797,0
28096,112384,23750,2017.0,3946.0,29.04624,-80.934561,0
139798,559192,17500,2009.0,112166.0,39.4991,-76.9101,0
332006,1328024,8950,2008.0,145250.0,40.850035,-96.624879,0
66977,267908,18495,2008.0,154235.0,39.9648,-83.126,0
195934,783736,1000,2001.0,80.0,42.0738,-80.1484,0
308379,1233516,1100,2002.0,233.0,29.802926,-95.508943,0
215207,860828,750,2001.0,257526.0,40.4837,-104.8994,0
136676,546704,9499,2007.0,123653.0,39.4991,-76.9101,0
41132,164528,20000,2017.0,6655.0,32.35,-86.28,0
100683,402732,18000,1952.0,63322.0,37.7525,-85.9954,0
345406,1381624,5995,2011.0,104930.0,43.00395200000001,-71.350672,0
54506,218024,23980,2017.0,7170.0,38.79662,-121.21584,0
210523,842092,30999,2017.0,42341.0,39.5506,-104.8972,0
105909,423636,6950,2003.0,62000.0,30.2473,-90.918,0
240168,960672,13986,2011.0,106193.0,44.541395,-95.095733,0
60061,240244,6980,2008.0,192150.0,49.218577,-122.958959,0
367594,1470376,58950,2017.0,31507.0,47.412874,-122.241095,0
338630,1354520,5,2005.0,179000.0,39.516077,-119.801399,0
260351,1041404,6995,2004.0,124896.0,38.504854,-90.673797,0
159622,638488,11500,2001.0,189000.0,40.5259,-124.2514,0
286953,1147812,4999,2007.0,101534.0,28.6354,-81.4888,0
195823,783292,3500,1990.0,118500.0,40.2932,-79.99600000000002,0
36818,147272,11500,2008.0,112000.0,34.7284,-86.5853,0
424480,1697920,9550,2008.0,82798.0,34.259153999999995,-77.836687,0
98879,395516,10500,2014.0,69100.0,33.5979,-86.3432,0
426471,1705884,3995,2001.0,169000.0,35.45449,-79.20825,0
70725,282900,14498,2014.0,83246.0,44.863287,-93.285342,0
108587,434348,33994,2013.0,114364.0,40.002865,-81.589523,0
303172,1212688,31998,2011.0,87018.0,45.747354,-111.185189,0
408925,1635700,3750,2001.0,164000.0,43.6571,-87.9722,0
79618,318472,23990,2015.0,71850.0,49.144773,-121.999784,0
377086,1508344,21999,2018.0,5449.0,46.234838,-119.128015,0
178960,715840,21999,2014.0,147716.0,36.83688,-119.70946,0
231166,924664,13995,2009.0,62883.0,42.68369000000001,-84.53825,0
307864,1231456,2500,2001.0,100000.0,27.958131,-97.144575,0
167438,669752,2999,2001.0,128000.0,33.7644,-116.3398,0
37641,150564,3000,1988.0,200000.0,32.3129,-86.2421,0
305693,1222772,8300,2010.0,184000.0,35.6441,-101.5845,0
99910,399640,7000,2004.0,278000.0,34.6796,-86.9625,0
111296,445184,19995,2013.0,59719.0,41.1552,-81.6314,0
58986,235944,17495,2007.0,102139.0,39.0,-77.0,0
136879,547516,3700,2002.0,170000.0,38.97842,-76.492729,0
